image,report,label
archive/images/images_normalized\1009_IM-0010-2001.dcm.png,real_reports\1009_IM-0010-2001.dcm.txt,0
archive/images/images_normalized\100_IM-0002-1001.dcm.png,real_reports\100_IM-0002-1001.dcm.txt,0
archive/images/images_normalized\100_IM-0002-2001.dcm.png,real_reports\100_IM-0002-2001.dcm.txt,0
archive/images/images_normalized\1010_IM-0012-1001.dcm.png,real_reports\1010_IM-0012-1001.dcm.txt,0
archive/images/images_normalized\1010_IM-0012-2001.dcm.png,real_reports\1010_IM-0012-2001.dcm.txt,0
archive/images/images_normalized\1011_IM-0013-1001.dcm.png,real_reports\1011_IM-0013-1001.dcm.txt,0
archive/images/images_normalized\1011_IM-0013-1002.dcm.png,real_reports\1011_IM-0013-1002.dcm.txt,0
archive/images/images_normalized\1012_IM-0013-1001.dcm.png,real_reports\1012_IM-0013-1001.dcm.txt,0
archive/images/images_normalized\1013_IM-0013-1001.dcm.png,real_reports\1013_IM-0013-1001.dcm.txt,0
archive/images/images_normalized\1013_IM-0013-2001.dcm.png,real_reports\1013_IM-0013-2001.dcm.txt,0
archive/images/images_normalized\1014_IM-0013-1001.dcm.png,real_reports\1014_IM-0013-1001.dcm.txt,0
archive/images/images_normalized\1014_IM-0013-2001.dcm.png,real_reports\1014_IM-0013-2001.dcm.txt,0
archive/images/images_normalized\1015_IM-0001-1001.dcm.png,real_reports\1015_IM-0001-1001.dcm.txt,0
archive/images/images_normalized\1015_IM-0001-2001.dcm.png,real_reports\1015_IM-0001-2001.dcm.txt,0
archive/images/images_normalized\1015_IM-0013-1001.dcm.png,real_reports\1015_IM-0013-1001.dcm.txt,0
archive/images/images_normalized\1015_IM-0013-2001.dcm.png,real_reports\1015_IM-0013-2001.dcm.txt,0
archive/images/images_normalized\1016_IM-0013-1001.dcm.png,real_reports\1016_IM-0013-1001.dcm.txt,0
archive/images/images_normalized\1016_IM-0013-2001.dcm.png,real_reports\1016_IM-0013-2001.dcm.txt,0
archive/images/images_normalized\1017_IM-0013-1001.dcm.png,real_reports\1017_IM-0013-1001.dcm.txt,0
archive/images/images_normalized\1017_IM-0013-1002.dcm.png,real_reports\1017_IM-0013-1002.dcm.txt,0
archive/images/images_normalized\1018_IM-0014-5001.dcm.png,real_reports\1018_IM-0014-5001.dcm.txt,0
archive/images/images_normalized\1018_IM-0014-6001.dcm.png,real_reports\1018_IM-0014-6001.dcm.txt,0
archive/images/images_normalized\1019_IM-0015-1001.dcm.png,real_reports\1019_IM-0015-1001.dcm.txt,0
archive/images/images_normalized\1019_IM-0015-2001.dcm.png,real_reports\1019_IM-0015-2001.dcm.txt,0
archive/images/images_normalized\101_IM-0011-2001.dcm.png,real_reports\101_IM-0011-2001.dcm.txt,0
archive/images/images_normalized\101_IM-0011-4004.dcm.png,real_reports\101_IM-0011-4004.dcm.txt,0
archive/images/images_normalized\1020_IM-0017-1001.dcm.png,real_reports\1020_IM-0017-1001.dcm.txt,0
archive/images/images_normalized\1020_IM-0017-2001.dcm.png,real_reports\1020_IM-0017-2001.dcm.txt,0
archive/images/images_normalized\1021_IM-0017-1001-0001.dcm.png,real_reports\1021_IM-0017-1001-0001.dcm.txt,0
archive/images/images_normalized\1021_IM-0017-1001-0002.dcm.png,real_reports\1021_IM-0017-1001-0002.dcm.txt,0
archive/images/images_normalized\1022_IM-0017-1001.dcm.png,real_reports\1022_IM-0017-1001.dcm.txt,0
archive/images/images_normalized\1022_IM-0017-2001.dcm.png,real_reports\1022_IM-0017-2001.dcm.txt,0
archive/images/images_normalized\1023_IM-0018-1001.dcm.png,real_reports\1023_IM-0018-1001.dcm.txt,0
archive/images/images_normalized\1023_IM-0018-2001.dcm.png,real_reports\1023_IM-0018-2001.dcm.txt,0
archive/images/images_normalized\1024_IM-0019-1001.dcm.png,real_reports\1024_IM-0019-1001.dcm.txt,0
archive/images/images_normalized\1025_IM-0020-1001.dcm.png,real_reports\1025_IM-0020-1001.dcm.txt,0
archive/images/images_normalized\1025_IM-0020-3001.dcm.png,real_reports\1025_IM-0020-3001.dcm.txt,0
archive/images/images_normalized\1026_IM-0021-2002.dcm.png,real_reports\1026_IM-0021-2002.dcm.txt,0
archive/images/images_normalized\1027_IM-0021-1001.dcm.png,real_reports\1027_IM-0021-1001.dcm.txt,0
archive/images/images_normalized\1027_IM-0021-2001.dcm.png,real_reports\1027_IM-0021-2001.dcm.txt,0
archive/images/images_normalized\1028_IM-0022-1001.dcm.png,real_reports\1028_IM-0022-1001.dcm.txt,0
archive/images/images_normalized\1028_IM-0022-2001.dcm.png,real_reports\1028_IM-0022-2001.dcm.txt,0
archive/images/images_normalized\1029_IM-0022-1001.dcm.png,real_reports\1029_IM-0022-1001.dcm.txt,0
archive/images/images_normalized\102_IM-0016-1001.dcm.png,real_reports\102_IM-0016-1001.dcm.txt,0
archive/images/images_normalized\102_IM-0016-2001.dcm.png,real_reports\102_IM-0016-2001.dcm.txt,0
archive/images/images_normalized\1030_IM-0024-1001.dcm.png,real_reports\1030_IM-0024-1001.dcm.txt,0
archive/images/images_normalized\1030_IM-0024-2001.dcm.png,real_reports\1030_IM-0024-2001.dcm.txt,0
archive/images/images_normalized\1031_IM-0025-4004.dcm.png,real_reports\1031_IM-0025-4004.dcm.txt,0
archive/images/images_normalized\1032_IM-0026-1001-0001.dcm.png,real_reports\1032_IM-0026-1001-0001.dcm.txt,0
archive/images/images_normalized\1032_IM-0026-1001-0002.dcm.png,real_reports\1032_IM-0026-1001-0002.dcm.txt,0
archive/images/images_normalized\1033_IM-0027-2001.dcm.png,real_reports\1033_IM-0027-2001.dcm.txt,0
archive/images/images_normalized\1033_IM-0027-4004.dcm.png,real_reports\1033_IM-0027-4004.dcm.txt,0
archive/images/images_normalized\1034_IM-0028-1001.dcm.png,real_reports\1034_IM-0028-1001.dcm.txt,0
archive/images/images_normalized\1034_IM-0028-1002.dcm.png,real_reports\1034_IM-0028-1002.dcm.txt,0
archive/images/images_normalized\1035_IM-0028-1001.dcm.png,real_reports\1035_IM-0028-1001.dcm.txt,0
archive/images/images_normalized\1035_IM-0028-2001.dcm.png,real_reports\1035_IM-0028-2001.dcm.txt,0
archive/images/images_normalized\1036_IM-0029-1001.dcm.png,real_reports\1036_IM-0029-1001.dcm.txt,0
archive/images/images_normalized\1037_IM-0029-1001.dcm.png,real_reports\1037_IM-0029-1001.dcm.txt,0
archive/images/images_normalized\1037_IM-0029-2001.dcm.png,real_reports\1037_IM-0029-2001.dcm.txt,0
archive/images/images_normalized\1038_IM-0029-1001.dcm.png,real_reports\1038_IM-0029-1001.dcm.txt,0
archive/images/images_normalized\1038_IM-0029-2001.dcm.png,real_reports\1038_IM-0029-2001.dcm.txt,0
archive/images/images_normalized\1039_IM-0030-1002.dcm.png,real_reports\1039_IM-0030-1002.dcm.txt,0
archive/images/images_normalized\103_IM-0023-1001.dcm.png,real_reports\103_IM-0023-1001.dcm.txt,0
archive/images/images_normalized\103_IM-0023-2001.dcm.png,real_reports\103_IM-0023-2001.dcm.txt,0
archive/images/images_normalized\1040_IM-0032-2001.dcm.png,real_reports\1040_IM-0032-2001.dcm.txt,0
archive/images/images_normalized\1040_IM-0032-4004.dcm.png,real_reports\1040_IM-0032-4004.dcm.txt,0
archive/images/images_normalized\1041_IM-0033-1001.dcm.png,real_reports\1041_IM-0033-1001.dcm.txt,0
archive/images/images_normalized\1041_IM-0033-2001.dcm.png,real_reports\1041_IM-0033-2001.dcm.txt,0
archive/images/images_normalized\1042_IM-0034-1001.dcm.png,real_reports\1042_IM-0034-1001.dcm.txt,0
archive/images/images_normalized\1042_IM-0034-3001.dcm.png,real_reports\1042_IM-0034-3001.dcm.txt,0
archive/images/images_normalized\1043_IM-0035-0001-0001.dcm.png,real_reports\1043_IM-0035-0001-0001.dcm.txt,0
archive/images/images_normalized\1043_IM-0035-0001-0002.dcm.png,real_reports\1043_IM-0035-0001-0002.dcm.txt,0
archive/images/images_normalized\1044_IM-0036-1001.dcm.png,real_reports\1044_IM-0036-1001.dcm.txt,0
archive/images/images_normalized\1044_IM-0036-2001.dcm.png,real_reports\1044_IM-0036-2001.dcm.txt,0
archive/images/images_normalized\1045_IM-0036-1001.dcm.png,real_reports\1045_IM-0036-1001.dcm.txt,0
archive/images/images_normalized\1045_IM-0036-2001.dcm.png,real_reports\1045_IM-0036-2001.dcm.txt,0
archive/images/images_normalized\1046_IM-0036-1001.dcm.png,real_reports\1046_IM-0036-1001.dcm.txt,0
archive/images/images_normalized\1046_IM-0036-2001.dcm.png,real_reports\1046_IM-0036-2001.dcm.txt,0
archive/images/images_normalized\1047_IM-0036-1001.dcm.png,real_reports\1047_IM-0036-1001.dcm.txt,0
archive/images/images_normalized\1047_IM-0036-2001.dcm.png,real_reports\1047_IM-0036-2001.dcm.txt,0
archive/images/images_normalized\1048_IM-0036-1001.dcm.png,real_reports\1048_IM-0036-1001.dcm.txt,0
archive/images/images_normalized\1048_IM-0036-2001.dcm.png,real_reports\1048_IM-0036-2001.dcm.txt,0
archive/images/images_normalized\1049_IM-0036-1001.dcm.png,real_reports\1049_IM-0036-1001.dcm.txt,0
archive/images/images_normalized\1049_IM-0036-3001.dcm.png,real_reports\1049_IM-0036-3001.dcm.txt,0
archive/images/images_normalized\104_IM-0031-0001-0002.dcm.png,real_reports\104_IM-0031-0001-0002.dcm.txt,0
archive/images/images_normalized\1050_IM-0038-2001.dcm.png,real_reports\1050_IM-0038-2001.dcm.txt,0
archive/images/images_normalized\1050_IM-0038-4004.dcm.png,real_reports\1050_IM-0038-4004.dcm.txt,0
archive/images/images_normalized\1051_IM-0039-5001.dcm.png,real_reports\1051_IM-0039-5001.dcm.txt,0
archive/images/images_normalized\1051_IM-0039-6001.dcm.png,real_reports\1051_IM-0039-6001.dcm.txt,0
archive/images/images_normalized\1052_IM-0040-1001.dcm.png,real_reports\1052_IM-0040-1001.dcm.txt,0
archive/images/images_normalized\1052_IM-0040-1002.dcm.png,real_reports\1052_IM-0040-1002.dcm.txt,0
archive/images/images_normalized\1053_IM-0040-1001.dcm.png,real_reports\1053_IM-0040-1001.dcm.txt,0
archive/images/images_normalized\1053_IM-0040-3003.dcm.png,real_reports\1053_IM-0040-3003.dcm.txt,0
archive/images/images_normalized\1054_IM-0040-1001.dcm.png,real_reports\1054_IM-0040-1001.dcm.txt,0
archive/images/images_normalized\1054_IM-0040-1002.dcm.png,real_reports\1054_IM-0040-1002.dcm.txt,0
archive/images/images_normalized\1055_IM-0040-1001.dcm.png,real_reports\1055_IM-0040-1001.dcm.txt,0
archive/images/images_normalized\1055_IM-0040-2001.dcm.png,real_reports\1055_IM-0040-2001.dcm.txt,0
archive/images/images_normalized\1056_IM-0040-1001.dcm.png,real_reports\1056_IM-0040-1001.dcm.txt,0
archive/images/images_normalized\1056_IM-0040-1002.dcm.png,real_reports\1056_IM-0040-1002.dcm.txt,0
archive/images/images_normalized\1056_IM-0040-1003.dcm.png,real_reports\1056_IM-0040-1003.dcm.txt,0
archive/images/images_normalized\1057_IM-0041-1001.dcm.png,real_reports\1057_IM-0041-1001.dcm.txt,0
archive/images/images_normalized\1057_IM-0041-2001.dcm.png,real_reports\1057_IM-0041-2001.dcm.txt,0
archive/images/images_normalized\1058_IM-0041-1001.dcm.png,real_reports\1058_IM-0041-1001.dcm.txt,0
archive/images/images_normalized\1058_IM-0041-2001.dcm.png,real_reports\1058_IM-0041-2001.dcm.txt,0
archive/images/images_normalized\1059_IM-0041-1001.dcm.png,real_reports\1059_IM-0041-1001.dcm.txt,0
archive/images/images_normalized\105_IM-0037-1001.dcm.png,real_reports\105_IM-0037-1001.dcm.txt,0
archive/images/images_normalized\105_IM-0037-2001.dcm.png,real_reports\105_IM-0037-2001.dcm.txt,0
archive/images/images_normalized\1060_IM-0042-1001.dcm.png,real_reports\1060_IM-0042-1001.dcm.txt,0
archive/images/images_normalized\1060_IM-0042-2001.dcm.png,real_reports\1060_IM-0042-2001.dcm.txt,0
archive/images/images_normalized\1061_IM-0043-1001.dcm.png,real_reports\1061_IM-0043-1001.dcm.txt,0
archive/images/images_normalized\1061_IM-0043-2001.dcm.png,real_reports\1061_IM-0043-2001.dcm.txt,0
archive/images/images_normalized\1062_IM-0043-1001.dcm.png,real_reports\1062_IM-0043-1001.dcm.txt,0
archive/images/images_normalized\1063_IM-0044-84654001.dcm.png,real_reports\1063_IM-0044-84654001.dcm.txt,0
archive/images/images_normalized\1063_IM-0044-84654002.dcm.png,real_reports\1063_IM-0044-84654002.dcm.txt,0
archive/images/images_normalized\1064_IM-0045-1001.dcm.png,real_reports\1064_IM-0045-1001.dcm.txt,0
archive/images/images_normalized\1065_IM-0046-1001.dcm.png,real_reports\1065_IM-0046-1001.dcm.txt,0
archive/images/images_normalized\1065_IM-0046-2001.dcm.png,real_reports\1065_IM-0046-2001.dcm.txt,0
archive/images/images_normalized\1066_IM-0047-1001.dcm.png,real_reports\1066_IM-0047-1001.dcm.txt,0
archive/images/images_normalized\1066_IM-0047-2001.dcm.png,real_reports\1066_IM-0047-2001.dcm.txt,0
archive/images/images_normalized\1067_IM-0048-1001.dcm.png,real_reports\1067_IM-0048-1001.dcm.txt,0
archive/images/images_normalized\1067_IM-0048-2001.dcm.png,real_reports\1067_IM-0048-2001.dcm.txt,0
archive/images/images_normalized\1069_IM-0049-1001.dcm.png,real_reports\1069_IM-0049-1001.dcm.txt,0
archive/images/images_normalized\106_IM-0042-1001.dcm.png,real_reports\106_IM-0042-1001.dcm.txt,0
archive/images/images_normalized\106_IM-0042-2001.dcm.png,real_reports\106_IM-0042-2001.dcm.txt,0
archive/images/images_normalized\1070_IM-0050-1001.dcm.png,real_reports\1070_IM-0050-1001.dcm.txt,0
archive/images/images_normalized\1070_IM-0050-2001.dcm.png,real_reports\1070_IM-0050-2001.dcm.txt,0
archive/images/images_normalized\1071_IM-0051-2001.dcm.png,real_reports\1071_IM-0051-2001.dcm.txt,0
archive/images/images_normalized\1072_IM-0052-1001-0001.dcm.png,real_reports\1072_IM-0052-1001-0001.dcm.txt,0
archive/images/images_normalized\1072_IM-0052-1001-0002.dcm.png,real_reports\1072_IM-0052-1001-0002.dcm.txt,0
archive/images/images_normalized\1073_IM-0053-1001.dcm.png,real_reports\1073_IM-0053-1001.dcm.txt,0
archive/images/images_normalized\1073_IM-0053-2001.dcm.png,real_reports\1073_IM-0053-2001.dcm.txt,0
archive/images/images_normalized\1074_IM-0054-1001.dcm.png,real_reports\1074_IM-0054-1001.dcm.txt,0
archive/images/images_normalized\1074_IM-0054-2001.dcm.png,real_reports\1074_IM-0054-2001.dcm.txt,0
archive/images/images_normalized\1075_IM-0054-1001.dcm.png,real_reports\1075_IM-0054-1001.dcm.txt,0
archive/images/images_normalized\1075_IM-0054-2001.dcm.png,real_reports\1075_IM-0054-2001.dcm.txt,0
archive/images/images_normalized\1076_IM-0054-1001.dcm.png,real_reports\1076_IM-0054-1001.dcm.txt,0
archive/images/images_normalized\1076_IM-0054-3001.dcm.png,real_reports\1076_IM-0054-3001.dcm.txt,0
archive/images/images_normalized\1077_IM-0054-1001.dcm.png,real_reports\1077_IM-0054-1001.dcm.txt,0
archive/images/images_normalized\1077_IM-0054-2001.dcm.png,real_reports\1077_IM-0054-2001.dcm.txt,0
archive/images/images_normalized\1078_IM-0055-1001.dcm.png,real_reports\1078_IM-0055-1001.dcm.txt,0
archive/images/images_normalized\1078_IM-0055-2001.dcm.png,real_reports\1078_IM-0055-2001.dcm.txt,0
archive/images/images_normalized\1079_IM-0056-1001.dcm.png,real_reports\1079_IM-0056-1001.dcm.txt,0
archive/images/images_normalized\1079_IM-0056-2001.dcm.png,real_reports\1079_IM-0056-2001.dcm.txt,0
archive/images/images_normalized\107_IM-0049-1001.dcm.png,real_reports\107_IM-0049-1001.dcm.txt,0
archive/images/images_normalized\107_IM-0049-2001.dcm.png,real_reports\107_IM-0049-2001.dcm.txt,0
archive/images/images_normalized\1081_IM-0057-2002.dcm.png,real_reports\1081_IM-0057-2002.dcm.txt,0
archive/images/images_normalized\1082_IM-0058-1001.dcm.png,real_reports\1082_IM-0058-1001.dcm.txt,0
archive/images/images_normalized\1083_IM-0058-1001.dcm.png,real_reports\1083_IM-0058-1001.dcm.txt,0
archive/images/images_normalized\1083_IM-0058-2001.dcm.png,real_reports\1083_IM-0058-2001.dcm.txt,0
archive/images/images_normalized\1084_IM-0058-1001.dcm.png,real_reports\1084_IM-0058-1001.dcm.txt,0
archive/images/images_normalized\1084_IM-0058-2001.dcm.png,real_reports\1084_IM-0058-2001.dcm.txt,0
archive/images/images_normalized\1085_IM-0059-1001.dcm.png,real_reports\1085_IM-0059-1001.dcm.txt,0
archive/images/images_normalized\1085_IM-0059-2001.dcm.png,real_reports\1085_IM-0059-2001.dcm.txt,0
archive/images/images_normalized\1086_IM-0059-1001.dcm.png,real_reports\1086_IM-0059-1001.dcm.txt,0
archive/images/images_normalized\1086_IM-0059-2001.dcm.png,real_reports\1086_IM-0059-2001.dcm.txt,0
archive/images/images_normalized\1087_IM-0060-1002001.dcm.png,real_reports\1087_IM-0060-1002001.dcm.txt,0
archive/images/images_normalized\1087_IM-0060-1004003.dcm.png,real_reports\1087_IM-0060-1004003.dcm.txt,0
archive/images/images_normalized\1088_IM-0061-1001.dcm.png,real_reports\1088_IM-0061-1001.dcm.txt,0
archive/images/images_normalized\1088_IM-0061-2001.dcm.png,real_reports\1088_IM-0061-2001.dcm.txt,0
archive/images/images_normalized\1089_IM-0061-1001.dcm.png,real_reports\1089_IM-0061-1001.dcm.txt,0
archive/images/images_normalized\1089_IM-0061-2001.dcm.png,real_reports\1089_IM-0061-2001.dcm.txt,0
archive/images/images_normalized\108_IM-0056-1001.dcm.png,real_reports\108_IM-0056-1001.dcm.txt,0
archive/images/images_normalized\108_IM-0056-1002.dcm.png,real_reports\108_IM-0056-1002.dcm.txt,0
archive/images/images_normalized\1090_IM-0062-1001.dcm.png,real_reports\1090_IM-0062-1001.dcm.txt,0
archive/images/images_normalized\1090_IM-0062-1002.dcm.png,real_reports\1090_IM-0062-1002.dcm.txt,0
archive/images/images_normalized\1091_IM-0062-1001.dcm.png,real_reports\1091_IM-0062-1001.dcm.txt,0
archive/images/images_normalized\1091_IM-0062-2001.dcm.png,real_reports\1091_IM-0062-2001.dcm.txt,0
archive/images/images_normalized\1092_IM-0063-1001.dcm.png,real_reports\1092_IM-0063-1001.dcm.txt,0
archive/images/images_normalized\1092_IM-0063-2001.dcm.png,real_reports\1092_IM-0063-2001.dcm.txt,0
archive/images/images_normalized\1093_IM-0064-1001.dcm.png,real_reports\1093_IM-0064-1001.dcm.txt,0
archive/images/images_normalized\1093_IM-0064-3003.dcm.png,real_reports\1093_IM-0064-3003.dcm.txt,0
archive/images/images_normalized\1094_IM-0065-1001.dcm.png,real_reports\1094_IM-0065-1001.dcm.txt,0
archive/images/images_normalized\1094_IM-0065-2001.dcm.png,real_reports\1094_IM-0065-2001.dcm.txt,0
archive/images/images_normalized\1095_IM-0066-1001.dcm.png,real_reports\1095_IM-0066-1001.dcm.txt,0
archive/images/images_normalized\1096_IM-0066-2001.dcm.png,real_reports\1096_IM-0066-2001.dcm.txt,0
archive/images/images_normalized\1097_IM-0067-1001.dcm.png,real_reports\1097_IM-0067-1001.dcm.txt,0
archive/images/images_normalized\1097_IM-0067-2001.dcm.png,real_reports\1097_IM-0067-2001.dcm.txt,0
archive/images/images_normalized\1098_IM-0067-1001.dcm.png,real_reports\1098_IM-0067-1001.dcm.txt,0
archive/images/images_normalized\1099_IM-0067-1001.dcm.png,real_reports\1099_IM-0067-1001.dcm.txt,0
archive/images/images_normalized\1099_IM-0067-2001.dcm.png,real_reports\1099_IM-0067-2001.dcm.txt,0
archive/images/images_normalized\10_IM-0002-1001.dcm.png,real_reports\10_IM-0002-1001.dcm.txt,0
archive/images/images_normalized\10_IM-0002-2001.dcm.png,real_reports\10_IM-0002-2001.dcm.txt,0
archive/images/images_normalized\1100_IM-0068-1001.dcm.png,real_reports\1100_IM-0068-1001.dcm.txt,0
archive/images/images_normalized\1100_IM-0068-2001.dcm.png,real_reports\1100_IM-0068-2001.dcm.txt,0
archive/images/images_normalized\1101_IM-0068-1001.dcm.png,real_reports\1101_IM-0068-1001.dcm.txt,0
archive/images/images_normalized\1101_IM-0068-2001.dcm.png,real_reports\1101_IM-0068-2001.dcm.txt,0
archive/images/images_normalized\1101_IM-0068-3001.dcm.png,real_reports\1101_IM-0068-3001.dcm.txt,0
archive/images/images_normalized\1102_IM-0069-12012.dcm.png,real_reports\1102_IM-0069-12012.dcm.txt,0
archive/images/images_normalized\1102_IM-0069-2001.dcm.png,real_reports\1102_IM-0069-2001.dcm.txt,0
archive/images/images_normalized\1102_IM-0069-3001.dcm.png,real_reports\1102_IM-0069-3001.dcm.txt,0
archive/images/images_normalized\1102_IM-0069-4004.dcm.png,real_reports\1102_IM-0069-4004.dcm.txt,0
archive/images/images_normalized\1103_IM-0070-1001.dcm.png,real_reports\1103_IM-0070-1001.dcm.txt,0
archive/images/images_normalized\1103_IM-0070-2001.dcm.png,real_reports\1103_IM-0070-2001.dcm.txt,0
archive/images/images_normalized\1104_IM-0071-1001.dcm.png,real_reports\1104_IM-0071-1001.dcm.txt,0
archive/images/images_normalized\1104_IM-0071-3001.dcm.png,real_reports\1104_IM-0071-3001.dcm.txt,0
archive/images/images_normalized\1104_IM-0071-4001.dcm.png,real_reports\1104_IM-0071-4001.dcm.txt,0
archive/images/images_normalized\1105_IM-0072-1001-0001.dcm.png,real_reports\1105_IM-0072-1001-0001.dcm.txt,0
archive/images/images_normalized\1105_IM-0072-1001-0002.dcm.png,real_reports\1105_IM-0072-1001-0002.dcm.txt,0
archive/images/images_normalized\1106_IM-0073-1001.dcm.png,real_reports\1106_IM-0073-1001.dcm.txt,0
archive/images/images_normalized\1106_IM-0073-2001.dcm.png,real_reports\1106_IM-0073-2001.dcm.txt,0
archive/images/images_normalized\1107_IM-0074-1001.dcm.png,real_reports\1107_IM-0074-1001.dcm.txt,0
archive/images/images_normalized\1108_IM-0075-1001.dcm.png,real_reports\1108_IM-0075-1001.dcm.txt,0
archive/images/images_normalized\1108_IM-0075-2001.dcm.png,real_reports\1108_IM-0075-2001.dcm.txt,0
archive/images/images_normalized\1109_IM-0076-1001.dcm.png,real_reports\1109_IM-0076-1001.dcm.txt,0
archive/images/images_normalized\1109_IM-0076-2001.dcm.png,real_reports\1109_IM-0076-2001.dcm.txt,0
archive/images/images_normalized\110_IM-0067-1001.dcm.png,real_reports\110_IM-0067-1001.dcm.txt,0
archive/images/images_normalized\110_IM-0067-2001.dcm.png,real_reports\110_IM-0067-2001.dcm.txt,0
archive/images/images_normalized\1110_IM-0076-1001.dcm.png,real_reports\1110_IM-0076-1001.dcm.txt,0
archive/images/images_normalized\1110_IM-0076-2001.dcm.png,real_reports\1110_IM-0076-2001.dcm.txt,0
archive/images/images_normalized\1111_IM-0077-1001.dcm.png,real_reports\1111_IM-0077-1001.dcm.txt,0
archive/images/images_normalized\1111_IM-0077-4004.dcm.png,real_reports\1111_IM-0077-4004.dcm.txt,0
archive/images/images_normalized\1112_IM-0078-1001.dcm.png,real_reports\1112_IM-0078-1001.dcm.txt,0
archive/images/images_normalized\1112_IM-0078-2001.dcm.png,real_reports\1112_IM-0078-2001.dcm.txt,0
archive/images/images_normalized\1113_IM-0078-1001.dcm.png,real_reports\1113_IM-0078-1001.dcm.txt,0
archive/images/images_normalized\1113_IM-0078-1002.dcm.png,real_reports\1113_IM-0078-1002.dcm.txt,0
archive/images/images_normalized\1114_IM-0079-1001.dcm.png,real_reports\1114_IM-0079-1001.dcm.txt,0
archive/images/images_normalized\1114_IM-0079-2001.dcm.png,real_reports\1114_IM-0079-2001.dcm.txt,0
archive/images/images_normalized\1115_IM-0079-1001.dcm.png,real_reports\1115_IM-0079-1001.dcm.txt,0
archive/images/images_normalized\1116_IM-0079-1001.dcm.png,real_reports\1116_IM-0079-1001.dcm.txt,0
archive/images/images_normalized\1116_IM-0079-2001.dcm.png,real_reports\1116_IM-0079-2001.dcm.txt,0
archive/images/images_normalized\1117_IM-0079-1001.dcm.png,real_reports\1117_IM-0079-1001.dcm.txt,0
archive/images/images_normalized\1117_IM-0079-2001.dcm.png,real_reports\1117_IM-0079-2001.dcm.txt,0
archive/images/images_normalized\1118_IM-0079-1001.dcm.png,real_reports\1118_IM-0079-1001.dcm.txt,0
archive/images/images_normalized\1118_IM-0079-2001.dcm.png,real_reports\1118_IM-0079-2001.dcm.txt,0
archive/images/images_normalized\1119_IM-0080-1001.dcm.png,real_reports\1119_IM-0080-1001.dcm.txt,0
archive/images/images_normalized\1119_IM-0080-2001.dcm.png,real_reports\1119_IM-0080-2001.dcm.txt,0
archive/images/images_normalized\111_IM-0076-1001.dcm.png,real_reports\111_IM-0076-1001.dcm.txt,0
archive/images/images_normalized\111_IM-0076-1002.dcm.png,real_reports\111_IM-0076-1002.dcm.txt,0
archive/images/images_normalized\1120_IM-0080-1001.dcm.png,real_reports\1120_IM-0080-1001.dcm.txt,0
archive/images/images_normalized\1121_IM-0080-1001.dcm.png,real_reports\1121_IM-0080-1001.dcm.txt,0
archive/images/images_normalized\1121_IM-0080-2001.dcm.png,real_reports\1121_IM-0080-2001.dcm.txt,0
archive/images/images_normalized\1122_IM-0080-1001-0001.dcm.png,real_reports\1122_IM-0080-1001-0001.dcm.txt,0
archive/images/images_normalized\1122_IM-0080-1001-0002.dcm.png,real_reports\1122_IM-0080-1001-0002.dcm.txt,0
archive/images/images_normalized\1122_IM-0080-2001.dcm.png,real_reports\1122_IM-0080-2001.dcm.txt,0
