image,label
C:\Users\pooji\Downloads\archive\images\images_normalized\815_IM-2346-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\240_IM-0950-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\613_IM-2200-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_1710.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3227.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6806.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2384.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2689.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2010_IM-0661-1002.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3441_IM-1666-1002.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5088.png,1
D:\Desktop\gan_fake_dataset\gan_fake_453.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1285_IM-0188-4001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2239.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5193.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3500.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1154_IM-0104-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6147.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\694_IM-2260-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4767.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5268.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3687_IM-1838-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2119_IM-0746-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6296.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1262_IM-0178-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6591.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3135.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5287.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1551_IM-0359-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2319_IM-0892-2002.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6344.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1544.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1763_IM-0497-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3989.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4850.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1874_IM-0565-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_1184.png,1
D:\Desktop\gan_fake_dataset\gan_fake_110.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\49_IM-2110-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2518_IM-1036-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2637_IM-1122-4004.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3120_IM-1466-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3521_IM-1719-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_1037.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\666_IM-2241-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6816.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2463.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2991_IM-1378-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2310.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2223_IM-0827-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6532.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3505_IM-1707-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3625.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\48_IM-2103-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5298.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6234.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2685.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1278_IM-0185-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4167.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1793.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1083.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6478.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2250.png,1
D:\Desktop\gan_fake_dataset\gan_fake_555.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2368_IM-0928-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3587.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3144_IM-1478-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_718.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4081.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2504_IM-1029-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1208_IM-0141-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3984_IM-2040-3003.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\863_IM-2383-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3410_IM-1648-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3515.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3322_IM-1588-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\243_IM-0971-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\38_IM-1911-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\641_IM-2220-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\379_IM-1903-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4736.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\193_IM-0601-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3197_IM-1508-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1666_IM-0440-0001-0002.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5037.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3390_IM-1636-3001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_746.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3375_IM-1624-1003.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2553_IM-1059-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2819.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3802.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1784_IM-0512-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6578.png,1
D:\Desktop\gan_fake_dataset\gan_fake_602.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5395.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5937.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2293_IM-0875-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\892_IM-2403-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1706_IM-0466-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3723_IM-1860-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2994_IM-1380-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\511_IM-2127-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2961_IM-1355-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5469.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6978.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\15_IM-0324-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3781_IM-1897-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3402_IM-1646-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3408_IM-1648-1002.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2188_IM-0798-3003.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2145_IM-0766-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3899_IM-1978-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1801_IM-0520-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4089.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1146.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3366.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1189.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1481_IM-0312-3001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4714.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4119.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3399.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6760.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\979_IM-2466-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1700_IM-0462-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4186.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3764_IM-1884-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3113_IM-1462-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6657.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\636_IM-2215-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1491_IM-0317-0001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5046.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\998_IM-2479-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\947_IM-2442-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3580_IM-1760-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1768_IM-0502-3003.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\659_IM-2235-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_745.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2949_IM-1348-1002.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2683_IM-1156-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2812_IM-1239-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1850_IM-0552-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5691.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3258.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3849_IM-1947-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2720_IM-1182-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2082.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2294_IM-0876-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2610.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3903_IM-1982-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4889.png,1
D:\Desktop\gan_fake_dataset\gan_fake_547.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\443_IM-2078-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4602.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2839_IM-1252-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\562_IM-2163-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\894_IM-2404-0001-0002.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3829_IM-1932-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2041_IM-0685-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1024_IM-0019-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1040_IM-0032-4004.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_351.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1114.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3385_IM-1632-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3786.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1353_IM-0230-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2966_IM-1359-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_616.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3550.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\92_IM-2422-4004.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3228_IM-1526-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\133_IM-0212-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3395.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4016.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2737.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3388.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3108_IM-1457-3001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4319.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1958_IM-0625-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1616_IM-0399-1002.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2038.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6127.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2993.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2998.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3025_IM-1400-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2852_IM-1261-3001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1907_IM-0589-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3318_IM-1587-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3224.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3105_IM-1456-1002.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1159_IM-0107-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2531.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5825.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4255.png,1
D:\Desktop\gan_fake_dataset\gan_fake_539.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3704.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4931.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2577_IM-1077-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\7_IM-2263-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\255_IM-1058-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5063.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2490_IM-1017-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_371.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2363_IM-0926-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2553_IM-1059-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3429_IM-1657-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3493_IM-1698-1002.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\247_IM-1000-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3206_IM-1513-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4870.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1719.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1889_IM-0577-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1731_IM-0481-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5570.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2561.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3842_IM-1943-3003.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1662_IM-0438-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6183.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1950.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6862.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2126_IM-0750-3003.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1085_IM-0059-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3581_IM-1761-3001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6271.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3046_IM-1418-1002.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3080.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3353.png,1
D:\Desktop\gan_fake_dataset\gan_fake_292.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1152_IM-0103-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\850_IM-2373-0001-0002.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_865.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\251_IM-1032-3001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3971_IM-2031-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_1582.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3958_IM-2022-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3053_IM-1421-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\278_IM-1218-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3376_IM-1625-0001-0002.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\461_IM-2090-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1840_IM-0545-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2817_IM-1241-3001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1445_IM-0287-4004.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4674.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3561.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4719.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4672.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\623_IM-2205-3003.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_1676.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3124_IM-1468-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3927_IM-2000-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2505.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6421.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3837_IM-1939-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1187_IM-0126-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6952.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1947.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3261_IM-1547-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6702.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6405.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1483_IM-0313-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1193_IM-0129-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6659.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3431.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3082_IM-1441-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2368.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2097_IM-0727-2001-0001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3390.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1643_IM-0421-3001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5473.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2883.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3666_IM-1824-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6066.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3941.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\804_IM-2338-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5514.png,1
D:\Desktop\gan_fake_dataset\gan_fake_130.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3841.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1896.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3028_IM-1403-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_337.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5919.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2662_IM-1143-3003.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_1399.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1468_IM-0303-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3493_IM-1698-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2464_IM-0997-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5871.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6542.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2170_IM-0786-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4180.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2944_IM-1344-2002.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3087.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1818_IM-0530-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6685.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2934.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3470_IM-1686-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3769_IM-1888-4001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2332.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4564.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1136_IM-0092-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2796.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3975_IM-2035-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\353_IM-1726-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3044.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2255_IM-0847-4001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2343_IM-0908-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\915_IM-2418-2002.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3222_IM-1522-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2094.png,1
D:\Desktop\gan_fake_dataset\gan_fake_693.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5102.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2181_IM-0793-1001-0001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5461.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\377_IM-1889-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3463.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\460_IM-2090-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3700_IM-1848-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4146.png,1
