image,label
C:\Users\pooji\Downloads\archive\images\images_normalized\537_IM-2143-1002.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1237_IM-0159-1002.dcm.png,1
D:\Fake_images\jpeg\2708_IM-1174-3003.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_308.png,1
D:\Fake_images\contrast\3991_IM-2044-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_725.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\966_IM-2456-1001.dcm.png,1
D:\Fake_images\resize\463_IM-2091-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2501.png,1
D:\Fake_images\blur\3526_IM-1723-2001.dcm.png,1
D:\Fake_images\blur\3876_IM-1967-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2156_IM-0775-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2050_IM-0690-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\133_IM-0212-3001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3869_IM-1962-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1669.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3931_IM-2003-3001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3480.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\105_IM-0037-1001.dcm.png,1
D:\Fake_images\blur\3626_IM-1794-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1379_IM-0243-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\494_IM-2114-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6043.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2568_IM-1070-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2106_IM-0736-1002.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\305_IM-1420-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1861_IM-0558-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1720_IM-0475-0001-0002.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3606_IM-1781-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_6644.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1474_IM-0307-2001.dcm.png,1
D:\Fake_images\sharp\854_IM-2376-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1865_IM-0558-1001.dcm.png,1
D:\Fake_images\blur\2955_IM-1352-1001.dcm.png,1
D:\Fake_images\noise\2375_IM-0936-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1903_IM-0586-2001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\710_IM-2273-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4261.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3755_IM-1879-3001.dcm.png,1
D:\Fake_images\jpeg\1562_IM-0367-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3439.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\811_IM-2343-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1969_IM-0630-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2783_IM-1220-1001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1949_IM-0617-0001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3820_IM-1928-1001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2548_IM-1056-0001-0002.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3444_IM-1667-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5071.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6870.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2606_IM-1096-2001.dcm.png,0
D:\Fake_images\elastic\1083_IM-0058-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3130.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6534.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4725.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5946.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5732.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1782_IM-0510-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\892_IM-2403-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2297.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\510_IM-2126-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\293_IM-1332-1001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1895_IM-0581-1001.dcm.png,1
D:\Fake_images\noise\2628_IM-1115-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2328.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1919_IM-0598-2001.dcm.png,0
D:\Fake_images\sharp\1005_IM-0006-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\867_IM-2387-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1535_IM-0346-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3350.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1145_IM-0097-3003.dcm.png,1
D:\Fake_images\resize\404_IM-2052-2001.dcm.png,1
D:\Fake_images\elastic\1016_IM-0013-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3480_IM-1691-1001.dcm.png,0
D:\Fake_images\jpeg\3881_IM-1969-3001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3686_IM-1837-0001-0002.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3604_IM-1780-0001-0001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\748_IM-2302-2001.dcm.png,0
D:\Fake_images\gamma\1694_IM-0455-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3201_IM-1513-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3777_IM-1894-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2714_IM-1180-2001.dcm.png,0
D:\Fake_images\resize\677_IM-2249-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\629_IM-2209-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\878_IM-2392-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_5540.png,1
D:\Desktop\gan_fake_dataset\gan_fake_880.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2537.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3391_IM-1637-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1058_IM-0041-1001.dcm.png,0
D:\Fake_images\contrast\113_IM-0086-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2103.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1126_IM-0082-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2663.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\218_IM-0792-0001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3419_IM-1654-4004.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_142.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5186.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\152_IM-0335-2001.dcm.png,1
D:\Fake_images\elastic\392_IM-1993-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1346_IM-0224-4001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3572_IM-1755-84853001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\112_IM-0080-1002.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_198.png,1
D:\Fake_images\blur\1798_IM-0518-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3626_IM-1794-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\162_IM-0401-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3792_IM-1906-1002.dcm.png,1
D:\Fake_images\blur\3702_IM-1849-23001.dcm.png,1
D:\Fake_images\jpeg\1938_IM-0608-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4016.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2929_IM-1331-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2371.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1083_IM-0058-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3882.png,1
D:\Fake_images\resize\748_IM-2302-1001.dcm.png,1
D:\Fake_images\blur\2635_IM-1121-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\778_IM-2321-2001.dcm.png,0
D:\Fake_images\gamma\1517_IM-0335-1002.dcm.png,1
D:\Fake_images\contrast\1960_IM-0627-1002001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2874.png,1
D:\Fake_images\blur\1222_IM-0150-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_2820.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\749_IM-2302-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\910_IM-2416-2001.dcm.png,0
D:\Fake_images\contrast\2379_IM-0939-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3886_IM-1971-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\694_IM-2260-4001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2163_IM-0779-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1808_IM-0524-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1361_IM-0235-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_81.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3328_IM-1594-1002.dcm.png,0
D:\Fake_images\gamma\1385_IM-0246-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\946_IM-2441-1001.dcm.png,0
D:\Fake_images\jpeg\3883_IM-1971-12012.dcm.png,1
D:\Fake_images\sharp\1036_IM-0029-1001.dcm.png,1
D:\Fake_images\resize\111_IM-0076-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2204_IM-0813-1002.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2358.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1609_IM-0394-2001.dcm.png,0
D:\Fake_images\sharp\3167_IM-1491-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3208_IM-1515-2001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3581_IM-1761-3001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2045_IM-0687-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3979.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3091_IM-1445-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1841_IM-0545-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1055_IM-0040-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2585.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4573.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1306.png,1
D:\Fake_images\elastic\1777_IM-0509-1001.dcm.png,1
D:\Fake_images\noise\2803_IM-1234-1001.dcm.png,1
D:\Fake_images\resize\2237_IM-0834-2002.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2023_IM-0669-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3050_IM-1420-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2772_IM-1213-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3239_IM-1534-2001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\865_IM-2385-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3446_IM-1669-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3192_IM-1505-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6435.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3618_IM-1790-82420001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2866_IM-1273-1001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\4_IM-2050-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\293_IM-1332-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1228_IM-0151-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3688.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3533.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3323.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1198_IM-0132-1001.dcm.png,0
D:\Fake_images\noise\1236_IM-0158-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1686.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1465_IM-0302-1001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\656_IM-2232-84570001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1188.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1273_IM-0183-1001.dcm.png,1
D:\Fake_images\resize\361_IM-1783-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1785_IM-0512-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\425_IM-2068-2001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2972_IM-1363-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\31_IM-1450-3003.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2259_IM-0850-2001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\887_IM-2400-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1631.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3409_IM-1648-1001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1257_IM-0174-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3759_IM-1883-2001.dcm.png,0
D:\Fake_images\blur\3253_IM-1542-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2579_IM-1078-2001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3954_IM-2021-1002.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1410.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3897_IM-1978-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3225_IM-1525-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\475_IM-2101-1001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3780_IM-1896-1001.dcm.png,1
D:\Fake_images\jpeg\3652_IM-1814-1001.dcm.png,1
D:\Fake_images\combo\3264_IM-1550-1001.dcm.png,1
D:\Fake_images\resize\1758_IM-0495-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1459_IM-0297-1001.dcm.png,1
D:\Fake_images\noise\3347_IM-1605-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1777_IM-0509-1002.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1712_IM-0470-2001.dcm.png,0
D:\Fake_images\sharp\2957_IM-1354-1002.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\2016_IM-0665-1001.dcm.png,1
D:\Fake_images\blur\602_IM-2192-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1960.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\2028_IM-0673-1002.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3080_IM-1440-1002.dcm.png,1
D:\Fake_images\combo\896_IM-2406-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5764.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3047_IM-1418-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1324_IM-0209-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1303_IM-0199-2001-0003.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6476.png,1
D:\Fake_images\jpeg\2291_IM-0874-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5120.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2597_IM-1087-1002.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1992_IM-0649-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3402.png,1
D:\Fake_images\blur\2921_IM-1324-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1466_IM-0302-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\830_IM-2358-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\1268_IM-0180-3001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\576_IM-2174-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_1534.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\833_IM-2359-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2394_IM-0944-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2837_IM-1252-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2977.png,1
D:\Fake_images\combo\210_IM-0730-4001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1234_IM-0157-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_3662.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2972_IM-1363-1001.dcm.png,1
D:\Fake_images\contrast\631_IM-2212-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2688_IM-1159-4004.dcm.png,1
D:\Fake_images\noise\3342_IM-1603-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3851_IM-1948-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1860_IM-0558-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_152.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3045_IM-1418-1001.dcm.png,0
D:\Fake_images\resize\1309_IM-0201-1001-0002.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5617.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3982_IM-2039-1001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\119_IM-0128-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\680_IM-2251-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\930_IM-2429-2001.dcm.png,1
D:\Fake_images\sharp\2054_IM-0692-0001-0002.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2796_IM-1228-1001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1372_IM-0239-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3026_IM-1401-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3843_IM-1944-3001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3250_IM-1540-1001-0001.dcm.png,0
D:\Fake_images\sharp\2467_IM-0997-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1122_IM-0080-2001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6993.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1596_IM-0387-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1101_IM-0068-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2631_IM-1118-2001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\1420_IM-0268-3001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2677_IM-1151-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_5748.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1983_IM-0640-2002.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\2938_IM-1339-2001.dcm.png,0
D:\Fake_images\elastic\1913_IM-0595-1002.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_3079.png,1
D:\Fake_images\elastic\2829_IM-1247-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\519_IM-2131-4001.dcm.png,1
D:\Fake_images\sharp\2727_IM-1187-1004.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2265_IM-0855-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\3253_IM-1542-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\316_IM-1487-1002.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2690_IM-1162-1003002.dcm.png,1
D:\Fake_images\jpeg\310_IM-1451-0001-0001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\112_IM-0080-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_560.png,1
D:\Desktop\gan_fake_dataset\gan_fake_27.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\2852_IM-1261-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_4644.png,1
D:\Desktop\gan_fake_dataset\gan_fake_4632.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1832_IM-0538-1001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\991_IM-2476-2001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_2027.png,1
D:\Fake_images\jpeg\1656_IM-0431-1001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1315_IM-0204-1001.dcm.png,1
D:\Fake_images\combo\3855_IM-1950-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1778_IM-0509-1001.dcm.png,1
D:\Desktop\gan_fake_dataset\gan_fake_6316.png,1
D:\Desktop\gan_fake_dataset\gan_fake_1659.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\818_IM-2349-2001.dcm.png,1
D:\Fake_images\contrast\456_IM-2087-2001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\1537_IM-0348-1002.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\254_IM-1051-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3036_IM-1409-1001.dcm.png,0
D:\Desktop\gan_fake_dataset\gan_fake_1183.png,1
D:\Fake_images\sharp\3686_IM-1837-0001-0001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2920_IM-1323-2001.dcm.png,1
C:\Users\pooji\Desktop\majoprojec t\fake_autoencoder1\2965_IM-1358-1001.dcm.png,1
C:\Users\pooji\Downloads\archive\images\images_normalized\3981_IM-2039-2001.dcm.png,0
C:\Users\pooji\Downloads\archive\images\images_normalized\3428_IM-1657-2001.dcm.png,0
C:\Users\pooji\Desktop\majoprojec t\fake_xrays\1199_IM-0133-1002.dcm.png,1
